,station,parameter,time,value
0,77,1,2011-06-01 03:00:00+00:00,0.0
1,33,1,2011-06-01 03:00:00+00:00,0.0
2,38,1,2011-06-01 03:00:00+00:00,4.0
3,1,1,2011-06-01 03:00:00+00:00,0.0
4,112,1,2011-06-01 03:00:00+00:00,0.0
5,42,1,2011-06-01 03:00:00+00:00,14.5
6,47,1,2011-06-01 03:00:00+00:00,3.8
7,107,1,2011-06-01 03:00:00+00:00,25.7
8,72,1,2011-06-01 03:00:00+00:00,0.0
9,177,1,2011-06-01 03:00:00+00:00,32.0
10,203,1,2011-06-01 03:00:00+00:00,0.0
11,171,1,2011-06-01 03:00:00+00:00,0.0
12,71,1,2011-06-01 03:00:00+00:00,0.0
13,237,1,2011-06-01 03:00:00+00:00,0.0
14,11,1,2011-05-31 21:15:00+00:00,4.0
15,11,1,2011-06-01 03:00:00+00:00,4.0
16,114,1,2011-06-01 03:00:00+00:00,20.2
17,154,1,2011-06-01 03:00:00+00:00,14.0
18,75,1,2011-06-01 03:00:00+00:00,0.0
19,205,1,2011-06-01 03:00:00+00:00,0.0
20,105,1,2011-06-01 03:00:00+00:00,0.0
21,108,1,2011-06-01 03:00:00+00:00,2.0
22,176,1,2011-06-01 03:00:00+00:00,0.0
23,230,1,2011-06-01 03:00:00+00:00,0.0
24,178,1,2011-06-01 03:00:00+00:00,5.5
25,53,1,2011-06-01 03:00:00+00:00,18.0
26,101,1,2011-06-01 03:00:00+00:00,0.0
27,156,1,2011-06-01 03:00:00+00:00,0.0
28,224,1,2011-06-01 03:00:00+00:00,0.0
29,157,1,2011-06-01 03:00:00+00:00,2.5
30,123,1,2011-06-01 03:00:00+00:00,0.0
31,54,1,2011-06-01 03:00:00+00:00,15.1
32,158,1,2011-06-01 03:00:00+00:00,14.6
33,13,1,2011-06-01 03:00:00+00:00,0.0
34,170,1,2011-06-01 03:00:00+00:00,0.0
35,244,1,2011-06-01 03:00:00+00:00,0.0
36,241,1,2011-06-01 03:00:00+00:00,0.0
37,110,1,2011-06-01 03:00:00+00:00,5.1
38,27,1,2011-06-01 03:00:00+00:00,0.0
39,55,1,2011-06-01 03:00:00+00:00,0.0
40,160,1,2011-06-01 03:00:00+00:00,3.7
41,119,1,2011-06-01 03:00:00+00:00,0.0
42,26,1,2011-06-01 03:00:00+00:00,5.0
43,79,1,2011-06-01 03:00:00+00:00,0.3
44,377,1,2011-06-01 03:00:00+00:00,0.0
45,173,1,2011-06-01 03:00:00+00:00,8.0
46,172,1,2011-06-01 03:00:00+00:00,18.6
47,275,1,2011-06-01 03:00:00+00:00,0.0
48,268,1,2011-06-01 03:00:00+00:00,7.4
49,34,1,2011-06-01 03:00:00+00:00,2.1
50,57,1,2011-06-01 03:00:00+00:00,0.0
51,181,1,2011-06-01 03:00:00+00:00,0.0
52,264,1,2011-06-01 03:00:00+00:00,12.3
53,124,1,2011-06-01 03:00:00+00:00,0.0
54,617,1,2011-06-01 03:00:00+00:00,0.0
55,186,1,2011-06-01 03:00:00+00:00,0.0
56,601,1,2011-06-01 03:00:00+00:00,12.5
57,59,1,2011-06-01 03:00:00+00:00,3.0
58,70,1,2011-06-01 03:00:00+00:00,3.2
59,60,1,2011-06-01 03:00:00+00:00,4.2
60,274,1,2011-06-01 03:00:00+00:00,9.1
61,135,1,2011-06-01 03:00:00+00:00,0.0
62,187,1,2011-06-01 03:00:00+00:00,0.5
63,136,1,2011-06-01 03:00:00+00:00,0.0
64,37,1,2011-06-01 03:00:00+00:00,25.5
65,191,1,2011-06-01 03:00:00+00:00,0.0
66,619,1,2011-06-01 03:00:00+00:00,0.0
67,125,1,2011-06-01 03:00:00+00:00,0.0
68,266,1,2011-06-01 03:00:00+00:00,0.0
69,25,1,2011-06-01 03:00:00+00:00,0.0
70,607,1,2011-06-01 03:00:00+00:00,0.0
71,618,1,2011-06-01 03:00:00+00:00,0.0
72,267,1,2011-06-01 03:00:00+00:00,0.0
73,81,1,2011-06-01 03:00:00+00:00,0.0
74,14,1,2011-06-01 03:00:00+00:00,3.5
75,131,1,2011-06-01 03:00:00+00:00,0.0
76,623,1,2011-06-01 03:00:00+00:00,1.5
77,277,1,2011-06-01 03:00:00+00:00,3.2
78,195,1,2011-06-01 03:00:00+00:00,0.0
79,129,1,2011-06-01 03:00:00+00:00,0.0
80,376,1,2011-06-01 03:00:00+00:00,7.1
81,15,1,2011-06-01 03:00:00+00:00,45.2
82,49,1,2011-06-01 03:00:00+00:00,0.0
83,628,1,2011-06-01 03:00:00+00:00,0.2
