index_no,station,lat,lon,elevation,district,province,station_name
605,Baglung,28.26364,83.6,964,Baglung,4,Baglung
1027,Bahrabise,27.78868,85.9,884,Sindhupalchok,3,Bahrabise
102,Baitadi..Gothalapani.,29.55744,80.41,1352,Baitadi,7,Baitadi (Gothalapani)
204,Bajura..Martadi.,29.45698,81.48,1598,Bajura,7,Bajura (Martadi)
808,Bandipur,27.94183,84.41,991,Tanahun,4,Bandipur
705,Bhairahawa.Airport,27.50682,83.42,108,Rupandehi,5,Bhairahawa Airport
1052,Bhaktapur,27.67668,85.42,1315,Bhaktapur,3,Bhaktapur
505,Bijuwar.Tar,28.10355,82.85,835,Pyuthan,5,Bijuwar Tar
1319,Biratnagar.Airport,26.48397,87.27,72,Morang,1,Biratnagar Airport
918,Birganj,27.0232,84.88,67,Parsa,2,Birganj
1303,Chainpur..East.,27.2921,87.32,1277,Sankhuwasabha,1,Chainpur (East)
299,Chainpur.Bajhang.AWS,29.54589,81.2,1405,Bajhang,7,Chainpur Bajhang AWS
1059,Changu.Narayan,27.71606,85.43,1502,Bhaktapur,3,Changu Narayan
810,Chapakot,27.89994,83.85,617,Syangja,4,Chapkot
1102,Charikot,27.66667,86.05,1940,Dolkha,3,Charikot
1316,Chatara,26.82044,87.16,105,Sunsari,1,Chatara
513,Chaurjhari.Tar,28.65399,82.21,863,Rukum,6,Chaurjhari Tar
1009,Chautara,27.75378,85.73,1552,Sindhupalchok,3,Chautara
405,Chisapani.Karnali.,28.65,81.29,201,Kailali,7,Chisapani(Karnali)
104,Dadeldhura,29.30135,80.59,1879,Dadeldhura,7,Dadeldhura
402,Dailekh,28.83811,81.71,1394,Dailekh,6,Dailekh
1408,Damak,26.67067,87.7,119,Jhapa,1,Damak
905,Daman,27.6044,85.09,2265,Makwanpur,3,Daman
817,Damauli,27.97368,84.27,347,Tanahun,4,Damauli
107,Darchula.New,29.84496,80.55,945,Darchula,7,Darchula New
209,Dhangadhi.Attariya.,28.81273,80.56,184,Kaliali,7,Dhangadhi(Attariya)
1307,Dhankuta,26.98322,87.35,1192,Dhankuta,1,Dhankuta
1311,Dharan.Bazar,26.79218,87.3,310,Sunsari,1,Dharan Bazar
1024,Dhulikhel,27.61612,85.57,1543,Kabhre,3,Dhulikhel
1055,Dhunche,28.10999,85.3,1993,Rasuwa,3,Dhunche
1038,Dhunibesi,27.72312,85.16,991,Dhading,3,Dhunibesi
1222,Diktel,27.21252,86.79,1612,Khotang,1,Diktel
218,Dipayal..Doti.,29.2621,80.94,563,Doti,7,Dipayal (Doti)
706,Dumkauli,27.68068,84.23,183,Nawalparasi,4,Dumkauli
312,Dunai,28.95065,82.9,2098,Dolpa,6,Dunai
1421,Gaida..Kankai.,26.65689,87.86,107,Jhapa,1,Gaida (Kankai)
922,Gaur,26.7671,85.31,77,Routahat,2,Gaur
515,Ghorai..Dang.,28.0372,82.48,663,Dang,5,Ghorai (Dang)
1022,Godavari,27.59292,85.38,1527,Lalitpur,3,Godavari
809,Gorkha..Birenchowk.,27.97139,84.59,724,Gorkha,4,Gorkha
