,station,parameter,time,value,station__location,station__elevation,longitude,latitude
0,504,8,2011-06-01 12:00:00+00:00,33.4,SRID=4326;POINT (84.08660278 28.02695833),515.0,84.08660278,28.02695833
1,474,8,2011-06-01 12:00:00+00:00,21.4,SRID=4326;POINT (85.2674061 27.8112882),2002.0,85.2674061,27.8112882
2,449,8,2011-06-01 12:00:00+00:00,29.6,SRID=4326;POINT (84.35640278 28.28220833),838.0,84.35640278,28.28220833
3,343,8,2011-06-01 12:00:00+00:00,31.0,SRID=4326;POINT (80.983602 29.268036),1309.0,80.983602,29.268036
4,475,8,2011-06-01 12:00:00+00:00,26.2,SRID=4326;POINT (86.504225 27.30812083),1731.0,86.504225,27.30812083
5,482,8,2011-06-01 12:00:00+00:00,36.2,SRID=4326;POINT (81.97491667 28.02986111),161.0,81.97491667,28.02986111
6,399,8,2011-06-01 12:00:00+00:00,33.8,SRID=4326;POINT (84.22854167 27.680675),183.0,84.22854167,27.680675
7,332,8,2011-06-01 12:00:00+00:00,28.0,SRID=4326;POINT (87.34595556 26.98321944),1192.0,87.34595556,26.98321944
8,476,8,2011-06-01 12:00:00+00:00,25.0,SRID=4326;POINT (85.3076915 28.1053174),2005.0,85.3076915,28.1053174
9,556,8,2011-06-01 12:00:00+00:00,21.0,SRID=4326;POINT (82.17957778 29.27466111),2363.0,82.17957778,29.27466111
10,558,8,2011-06-01 12:00:00+00:00,21.1,SRID=4326;POINT (83.2354092 28.5888278),2627.0,83.2354092,28.5888278
11,479,8,2011-06-01 12:00:00+00:00,34.6,SRID=4326;POINT (80.55995111 28.81272889),184.0,80.55995111,28.81272889
12,760,8,2011-06-01 12:00:00+00:00,31.0,SRID=4326;POINT (87.20438389 27.39106194),1064.0,87.20438389,27.39106194
13,778,8,2011-06-01 12:00:00+00:00,34.2,SRID=4326;POINT (87.267006 26.483967),72.0,87.267006,26.483967
14,780,8,2011-06-01 12:00:00+00:00,39.1,SRID=4326;POINT (83.27611111 27.47027778),95.0,83.27611111,27.47027778
15,569,8,2011-06-01 12:00:00+00:00,35.0,SRID=4326;POINT (84.9327 27.07894),87.0,84.9327,27.07894
16,485,8,2011-06-01 12:00:00+00:00,29.0,SRID=4326;POINT (85.35624722 27.703825),1337.0,85.35624722,27.703825
17,487,8,2011-06-01 12:00:00+00:00,36.0,SRID=4326;POINT (86.06123333 27.39470278),497.0,86.06123333,27.39470278
18,559,8,2011-06-01 12:00:00+00:00,31.0,SRID=4326;POINT (85.620881 27.6451338),857.0,85.620881,27.6451338
19,772,8,2011-06-01 12:00:00+00:00,31.6,SRID=4326;POINT (83.67691889 28.22493611),900.0,83.67691889,28.22493611
20,492,8,2011-06-01 12:00:00+00:00,31.4,SRID=4326;POINT (83.9742 28.21849444),859.0,83.9742,28.21849444
21,112,8,2011-06-01 12:00:00+00:00,31.0,SRID=4326;POINT (87.31696583 27.29209694),1277.0,87.31696583,27.29209694
22,38,8,2011-06-01 12:00:00+00:00,30.0,SRID=4326;POINT (82.89604722 28.95065),2098.0,82.89604722,28.95065
23,177,8,2011-06-01 12:00:00+00:00,22.5,SRID=4326;POINT (87.285198 27.55534778),1494.0,87.285198,27.55534778
24,498,8,2011-06-01 12:00:00+00:00,28.0,SRID=4326;POINT (85.29671667 27.64377222),1309.0,85.29671667,27.64377222
25,203,8,2011-06-01 12:00:00+00:00,34.0,SRID=4326;POINT (85.917228 26.709665),76.0,85.917228,26.709665
26,47,8,2011-06-01 12:00:00+00:00,34.5,SRID=4326;POINT (80.23049 28.95477194),197.0,80.23049,28.95477194
27,230,8,2011-06-01 12:00:00+00:00,33.5,SRID=4326;POINT (82.484156 28.03719889),663.0,82.484156,28.03719889
28,171,8,2011-06-01 12:00:00+00:00,35.0,SRID=4326;POINT (85.807275 26.65224722),68.0,85.807275,26.65224722
29,11,8,2011-06-01 06:15:00+00:00,30.0,SRID=4326;POINT (80.54539389 29.84496194),945.0,80.54539389,29.84496194
30,75,8,2011-06-01 12:00:00+00:00,32.7,SRID=4326;POINT (83.84586111 27.89994444),617.0,83.84586111,27.89994444
31,11,8,2011-06-01 12:00:00+00:00,30.0,SRID=4326;POINT (80.54539389 29.84496194),945.0,80.54539389,29.84496194
32,170,8,2011-06-01 12:00:00+00:00,34.2,SRID=4326;POINT (86.53967778 26.91295278),469.0,86.53967778,26.91295278
33,101,8,2011-06-01 12:00:00+00:00,37.5,SRID=4326;POINT (81.59030556 28.11368333),129.0,81.59030556,28.11368333
34,13,8,2011-06-01 12:00:00+00:00,23.0,SRID=4326;POINT (88.07833333 26.86805556),1570.0,88.07833333,26.86805556
35,53,8,2011-06-01 12:00:00+00:00,35.0,SRID=4326;POINT (85.44511389 26.92800556),90.0,85.44511389,26.92800556
36,54,8,2011-06-01 12:00:00+00:00,35.0,SRID=4326;POINT (83.32046694 28.12424389),738.0,83.32046694,28.12424389
37,55,8,2011-06-01 12:00:00+00:00,36.5,SRID=4326;POINT (83.06716944 27.571075),106.0,83.06716944,27.571075
38,110,8,2011-06-01 12:00:00+00:00,30.6,SRID=4326;POINT (84.0169252 28.188621),803.9,84.0169252,28.188621
39,172,8,2011-06-01 12:00:00+00:00,34.2,SRID=4326;POINT (84.35079444 27.654025),189.0,84.35079444,27.654025
40,26,8,2011-06-01 12:00:00+00:00,35.2,SRID=4326;POINT (83.4583003 27.5310288),112.0,83.4583003,27.5310288
41,119,8,2011-06-01 12:00:00+00:00,16.7,SRID=4326;POINT (83.979815 29.22713194),3886.0,83.979815,29.22713194
42,79,8,2011-06-01 12:00:00+00:00,20.0,SRID=4326;POINT (83.60922222 28.63273333),2490.0,83.60922222,28.63273333
43,267,8,2011-06-01 12:00:00+00:00,34.0,SRID=4326;POINT (86.742525 26.540705),68.0,86.742525,26.540705
44,34,8,2011-06-01 12:00:00+00:00,26.0,SRID=4326;POINT (86.79188583 27.21252194),1612.0,86.79188583,27.21252194
45,191,8,2011-06-01 12:00:00+00:00,31.0,SRID=4326;POINT (83.53871111 27.86366111),1183.0,83.53871111,27.86366111
46,654,8,2011-06-01 12:00:00+00:00,35.0,SRID=4326;POINT (85.484083 27.133046),139.0,85.484083,27.133046
47,81,8,2011-06-01 12:00:00+00:00,27.7,SRID=4326;POINT (83.243525 28.0636),1547.0,83.243525,28.0636
48,628,8,2011-06-01 12:00:00+00:00,28.4,SRID=4326;POINT (85.325693 27.651677),1334.0,85.325693,27.651677
49,49,8,2011-06-01 12:00:00+00:00,23.5,SRID=4326;POINT (81.48038389 29.45697889),1598.0,81.48038389,29.45697889
50,281,8,2011-06-01 12:00:00+00:00,21.5,SRID=4326;POINT (85.52085833 27.69334722),2147.0,85.52085833,27.69334722
51,735,8,2011-06-01 12:00:00+00:00,37.2,SRID=4326;POINT (81.115034 28.536556),149.0,81.115034,28.536556
52,89,8,2011-06-01 12:00:00+00:00,25.5,SRID=4326;POINT (82.2001231 28.6989756),1236.0,82.2001231,28.6989756
53,91,8,2011-06-01 12:00:00+00:00,23.0,SRID=4326;POINT (86.23211389 27.63044722),1877.0,86.23211389,27.63044722
54,677,8,2011-06-01 12:00:00+00:00,31.0,SRID=4326;POINT (85.73207778 27.75378333),1552.0,85.73207778,27.75378333
55,32,8,2011-06-01 12:00:00+00:00,39.5,SRID=4326;POINT (83.786475 27.468507),110.0,83.786475,27.468507
56,737,8,2011-06-01 12:00:00+00:00,33.9,SRID=4326;POINT (81.28542778 28.64721944),201.0,81.28542778,28.64721944
57,145,8,2011-06-01 12:00:00+00:00,32.3,SRID=4326;POINT (84.58944444 27.97138889),724.0,84.58944444,27.97138889
58,656,8,2011-06-01 12:00:00+00:00,32.0,SRID=4326;POINT (85.3522048 27.7646552),1378.0,85.3522048,27.7646552
59,657,8,2011-06-01 12:00:00+00:00,26.7,SRID=4326;POINT (87.67 27.35861111),1744.0,87.67,27.35861111
60,641,8,2011-06-01 12:00:00+00:00,25.4,SRID=4326;POINT (81.28313389 29.155945),989.0,81.28313389,29.155945
61,17,8,2011-06-01 12:00:00+00:00,30.0,SRID=4326;POINT (85.31303333 26.7671),77.0,85.31303333,26.7671
62,29,8,2011-06-01 12:00:00+00:00,21.5,SRID=4326;POINT (81.61353889 29.14879722),1729.0,81.61353889,29.14879722
63,648,8,2011-06-01 12:00:00+00:00,21.0,SRID=4326;POINT (83.7298167 28.7840111),2741.0,83.7298167,28.7840111
64,18,8,2011-06-01 12:00:00+00:00,34.2,SRID=4326;POINT (84.26509167 27.973675),347.0,84.26509167,27.973675
65,659,8,2011-06-01 12:00:00+00:00,30.6,SRID=4326;POINT (83.872177 28.098775),871.0,83.872177,28.098775
66,23,8,2011-06-01 12:00:00+00:00,34.0,SRID=4326;POINT (86.934812 26.730538),101.0,86.934812,26.730538
67,720,8,2011-06-01 12:00:00+00:00,29.0,SRID=4326;POINT (82.14225111 28.38210306),1557.0,82.14225111,28.38210306
68,727,8,2011-06-01 12:00:00+00:00,34.2,SRID=4326;POINT (81.70848333 28.83811111),1394.0,81.70848333,28.83811111
69,680,8,2011-06-01 12:00:00+00:00,25.5,SRID=4326;POINT (85.5654519 27.6159205),1552.0,85.5654519,27.6159205
70,19,8,2011-06-01 12:00:00+00:00,24.2,SRID=4326;POINT (80.54575111 29.467137),1292.0,80.54575111,29.467137
71,691,8,2011-06-01 12:00:00+00:00,33.7,SRID=4326;POINT (80.57918889 28.87623),280.0,80.57918889,28.87623
72,721,8,2011-06-01 12:00:00+00:00,33.2,SRID=4326;POINT (81.63516111 28.58786944),683.0,81.63516111,28.58786944
73,665,8,2011-06-01 12:00:00+00:00,24.3,SRID=4326;POINT (83.12980556 27.92205556),1801.0,83.12980556,27.92205556
74,31,8,2011-06-01 12:00:00+00:00,33.7,SRID=4326;POINT (87.29777778 26.792175),310.0,87.29777778,26.792175
75,731,8,2011-06-01 12:00:00+00:00,30.0,SRID=4326;POINT (82.462491 28.618975),1412.0,82.462491,28.618975
76,719,8,2011-06-01 12:00:00+00:00,34.0,SRID=4326;POINT (85.025209 27.420213),452.0,85.025209,27.420213
77,24,8,2011-06-01 12:00:00+00:00,21.0,SRID=4326;POINT (86.586215 27.50511778),2383.0,86.586215,27.50511778
78,697,8,2011-06-01 12:00:00+00:00,31.5,SRID=4326;POINT (84.40637778 27.94183333),991.0,84.40637778,27.94183333
79,45,8,2011-06-01 12:00:00+00:00,36.0,SRID=4326;POINT (81.62283889 28.05199444),141.0,81.62283889,28.05199444
80,681,8,2011-06-01 12:00:00+00:00,35.6,SRID=4326;POINT (81.66824722 28.10055556),165.0,81.66824722,28.10055556
81,44,8,2011-06-01 12:00:00+00:00,26.2,SRID=4326;POINT (82.15427778 29.55030556),2113.0,82.15427778,29.55030556
82,714,8,2011-06-01 12:00:00+00:00,32.5,SRID=4326;POINT (85.905 27.228056),556.0,85.905,27.228056
83,39,8,2011-06-01 12:00:00+00:00,25.5,SRID=4326;POINT (87.53619 27.12304),1525.0,87.53619,27.12304
84,22,8,2011-06-01 12:00:00+00:00,29.0,SRID=4326;POINT (82.63231389 28.30619722),1314.0,82.63231389,28.30619722
85,40,8,2011-06-01 06:15:00+00:00,26.0,SRID=4326;POINT (80.41317389 29.55743694),1352.0,80.41317389,29.55743694
86,40,8,2011-06-01 12:00:00+00:00,26.0,SRID=4326;POINT (80.41317389 29.55743694),1352.0,80.41317389,29.55743694
87,709,8,2011-06-01 12:00:00+00:00,33.0,SRID=4326;POINT (85.164311 27.722878),991.0,85.164311,27.722878
88,746,8,2011-06-01 12:00:00+00:00,34.5,SRID=4326;POINT (84.4345037 27.6774101),216.0,84.4345037,27.6774101
89,747,8,2011-06-01 12:00:00+00:00,35.0,SRID=4326;POINT (87.278648 26.698692),120.0,87.278648,26.698692
90,722,8,2011-06-01 12:00:00+00:00,32.5,SRID=4326;POINT (82.21030694 28.65399306),863.0,82.21030694,28.65399306
91,401,8,2011-06-01 12:00:00+00:00,19.0,SRID=4326;POINT (83.681614 28.740909),2655.0,83.681614,28.740909
92,320,8,2011-06-01 12:00:00+00:00,33.6,SRID=4326;POINT (88.00375 26.39616667),71.0,88.00375,26.39616667
