,station,parameter,time,value,station__location,station__elevation,longitude,latitude
0,328,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (80.96954306 28.48984389),132,80.96954306,28.48984389
1,373,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.33803611 28.42588611),166,81.33803611,28.42588611
2,471,1,2011-06-01 03:00:00+00:00,20.5,SRID=4326;POINT (87.92978694 27.185503),1590,87.92978694,27.185503
3,434,1,2011-06-01 03:00:00+00:00,1.8,SRID=4326;POINT (84.38104444 28.54486111),2256,84.38104444,28.54486111
4,374,1,2011-06-01 03:00:00+00:00,22.2,SRID=4326;POINT (83.75531944 27.97731194),756,83.75531944,27.97731194
5,501,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.8601477 27.8653534),1885,85.8601477,27.8653534
6,307,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.7065205 27.6838541),1195,85.7065205,27.6838541
7,435,1,2011-06-01 03:00:00+00:00,25.2,SRID=4326;POINT (83.26802778 28.16998056),1353,83.26802778,28.16998056
8,375,1,2011-06-01 03:00:00+00:00,8,SRID=4326;POINT (83.576185 28.44271389),1682,83.576185,28.44271389
9,474,1,2011-06-01 03:00:00+00:00,39,SRID=4326;POINT (85.2674061 27.8112882),2002,85.2674061,27.8112882
10,513,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.6242 27.8127),1653,85.6242,27.8127
11,342,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (87.15986 26.91424278),146,87.15986,26.91424278
12,436,1,2011-06-01 03:00:00+00:00,53.5,SRID=4326;POINT (84.09998056 28.25591111),1478,84.09998056,28.25591111
13,348,1,2011-06-01 03:00:00+00:00,2,SRID=4326;POINT (81.045105 29.34106083),2249,81.045105,29.34106083
14,379,1,2011-06-01 03:00:00+00:00,20.9,SRID=4326;POINT (83.796025 28.276525),1591,83.796025,28.276525
15,524,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (85.255475 27.70094167),1477,85.255475,27.70094167
16,531,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (81.41428333 28.36353889),150,81.41428333,28.36353889
17,527,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (86.44435778 27.21472694),1529,86.44435778,27.21472694
18,382,1,2011-06-01 03:00:00+00:00,20,SRID=4326;POINT (82.5 28.05),725,82.5,28.05
19,381,1,2011-06-01 03:00:00+00:00,11.9,SRID=4326;POINT (83.74819722 28.17726667),1642,83.74819722,28.17726667
