Province No,District,Name of Local Level,Population,Area sq.km.,Total no of Schools(Community),Total no of Schools(Institutional),Total no of Schools,Total no of Students of All Types Schools (Grade 1-12) Girls,Total no of Students of All Types Schools (Grade 1-12) Boys,Total no of Students of All Types Schools (Grade 1-12)
1,Taplejung,Aathrai Triveni RM,13784,88.83,35,2,37,2190,1911,4101
1,Taplejung,Phaktanglung RM,12017,1858.51,43,0,43,1653,1611,3264
1,Taplejung,Phungling MC,26406,125.57,51,12,63,2236,1975,4211
1,Taplejung,Mikwa Khola RM,9160,442.96,27,0,27,1561,1269,2830
1,Taplejung,Meringden RM,12548,210.33,36,0,36,2085,1812,3897
1,Taplejung,Maiwa Khola RM,11037,138,28,0,28,3598,3279,6877
1,Taplejung,Yangwarak RM,13591,93.76,36,0,36,2066,1906,3972
1,Taplejung,Sidingwa RM,12099,206,39,0,39,2835,2526,5361
1,Taplejung,Sirijangha RM,15806,481.09,42,0,42,2183,1998,4181
1,Panchthar,Kummayak RM,16118,129.3,39,4,43,3202,2873,6075
1,Panchthar,Tumbwa RM,13419,117.34,41,2,43,2040,1932,3972
1,Panchthar,Phalelung RM,21884,207.14,47,7,54,3878,3439,7317
1,Panchthar,Phalgunanda RM,24060,107.53,40,8,48,3495,3024,6519
1,Panchthar,Phidim MC,49201,192.5,80,14,94,4158,3911,8069
1,Panchthar,Miklajung RM,24715,166.61,56,10,66,7694,7252,14946
1,Panchthar,Yangwarak RM,18281,208.63,43,8,51,2301,2179,4480
1,Panchthar,Hilihang RM,22913,123.01,44,6,50,2934,2639,5573
1,Ilam,Ilam MC,48536,173.32,58,23,81,2404,2058,4462
1,Ilam,Chulachuli RM,20820,108.46,23,2,25,4863,4099,8962
1,Ilam,Deumai MC,32927,191.63,54,11,65,7107,6882,13989
1,Ilam,"Phakphokthum
RM",21619,108.79,42,6,48,4151,3859,8010
1,Ilam,Mai MC,32576,246.11,50,10,60,2498,2136,4634
1,Ilam,Maijogmai RM,21044,172.41,38,5,43,2697,2385,5082
1,Ilam,Mangsebung RM,18503,142.41,33,2,35,3328,2799,6127
1,Ilam,Rong RM,19135,155.06,31,0,31,1851,1516,3367
1,Ilam,Sandakpur RM,16065,156.01,32,3,35,1666,1404,3070
1,Ilam,Suryodaya MC,56691,252.52,71,24,95,7416,6218,13634
1,Jhapa,Arjundhara MC,60204,109.86,32,17,49,6258,6080,12338
1,Jhapa,Kachankabal RM,39535,109.45,33,4,37,4138,4065,8203
1,Jhapa,Kankai MC,40141,80.98,17,11,28,7802,8851,16653
1,Jhapa,Kamal RM,44365,104.57,27,17,44,14802,15121,29923
1,Jhapa,Gauradaha MC,53033,149.86,35,17,52,5453,5203,10656
1,Jhapa,Gauriganj RM,33038,101.35,26,10,36,7378,6916,14294
1,Jhapa,Jhapa RM,34601,94.12,40,7,47,6324,6082,12406
1,Jhapa,Damak MC,75102,70.86,25,25,50,3979,3832,7811
1,Jhapa,Bahradasi RM,33653,88.44,24,7,31,3560,3532,7092
1,Jhapa,Buddhashanti RM,41615,79.78,19,11,30,5325,5149,10474
1,Jhapa,Bhadrapur MC,65543,96.35,33,27,60,4529,4630,9159
1,Jhapa,Mechinagar MC,111797,192.85,43,46,89,5392,5129,10521
1,Jhapa,Birtamod MC,82592,78.24,26,55,81,4747,4763,9510
1,Jhapa,Shivasatakshi MC,64596,145.87,39,22,61,11992,11648,23640
1,Jhapa,Haldibari RM,29223,117.34,18,7,25,7696,7178,14874
1,Morang,Urlabari MC,54696,74.62,20,20,40,6655,6244,12899
1,Morang,Katahari RM,39775,51.59,20,3,23,18542,17426,35968
1,Morang,Kanepokhari RM,38033,82.83,18,4,22,3455,3283,6738
1,Morang,Kerabari RM,30431,219.83,27,6,33,5962,5608,11570
1,Morang,Gramthan RM,32717,71.84,23,5,28,2997,2760,5757
1,Morang,Jahada RM,41819,62.38,29,1,30,4411,4078,8489
1,Morang,Dhapalthan RM,39394,70.26,26,5,31,3082,2968,6050
1,Morang,Pathari Sanischare MC,62440,79.81,27,16,43,4021,3858,7879
1,Morang,Budhiganga RM,41586,56.41,19,8,27,4257,3820,8077
1,Morang,Belbari MC,65892,132.79,28,13,41,4485,4196,8681
1,Morang,Miklajung RM,28708,158.98,34,9,43,4024,3816,7840
1,Morang,Rangeli MC,52013,111.78,28,10,38,6482,6431,12913
1,Morang,Ratuwamai MC,55380,142.15,45,8,53,6229,5808,12037
1,Morang,Letang MC,32053,219.23,34,13,47,7280,6661,13941
1,Morang,Biratnagar MP,214663,77,83,38,121,4742,4428,9170
1,Morang,Sunbarshi MC,50758,106.4,41,7,48,8338,7981,16319
1,Morang,Sundarharicha MC,80518,110.16,42,18,60,7893,7409,15302
1,Sunsari,Itahari Sub-MP,140517,93.78,39,94,133,11027,9913,20940
1,Sunsari,Inaruwa MC,63593,77.92,40,28,68,3531,3273,6804
1,Sunsari,Koshi RM,43626,75.98,45,6,51,4476,4291,8767
1,Sunsari,Gadhi RM,34852,67.7,27,10,37,3372,3081,6453
1,Sunsari,Duhabi MC,56269,76.67,35,13,48,18938,17702,36640
1,Sunsari,Dewanganj RM,35073,53.56,29,3,32,7275,6599,13874
1,Sunsari,Dharan Sub-MP,137705,192.32,60,87,147,3387,3128,6515
1,Sunsari,Baraha MC,77408,222.09,59,29,88,5809,5805,11614
1,Sunsari,Barju RM,31178,69.43,30,4,34,7318,7738,15056
1,Sunsari,Bhokraha RM,40509,63.37,41,5,46,19559,19110,38669
1,Sunsari,Ramdhuni MC,51752,91.69,29,23,52,5483,5306,10789
1,Sunsari,Harinagara RM,40846,52.29,46,11,57,5885,5451,11336
1,Dhankuta,Khalsa Chhintang Sahidbhumi RM,18760,99.55,39,5,44,3061,2900,5961
1,Dhankuta,Chaubise RM,19283,147.6,52,6,58,2667,2342,5009
1,Dhankuta,"Chhathar Jorpati
RM",18322,102.83,33,7,40,7254,6703,13957
1,Dhankuta,Dhankuta MC,36619,111,42,20,62,3065,2618,5683
1,Dhankuta,Pakhribas MC,22078,144.29,37,5,42,4250,3663,7913
1,Dhankuta,Mahalaxmi MC,24800,129.39,53,4,57,2954,2720,5674
1,Dhankuta,Sanguri Gadi RM,21536,16644,54,4,58,3017,2590,5607
1,Terhathum,Atharai RM,21747,167.07,59,3,62,4041,3473,7514
1,Terhathum,Chhatha RM,16715,133.93,47,2,49,2704,2291,4995
1,Terhathum,Phedap RM,17700,110.83,43,5,48,2904,2656,5560
1,Terhathum,Menchayayem RM,8078,70.09,23,0,23,1441,1263,2704
1,Terhathum,Myanglung MC,19659,100.21,31,7,38,3427,3192,6619
1,Terhathum,Laligurans MC,16970,90.27,32,4,36,2623,2233,4856
1,Sankhuwasabha,Khandbari MC,31177,122.78,46,16,62,954,902,1856
1,Sankhuwasabha,Chichila RM,7065,88.63,21,0,21,1065,1089,2154
1,Sankhuwasabha,ChiMCur MC,27308,223.69,59,5,64,4085,3895,7980
1,Sankhuwasabha,Dharmadevi MC,18235,132.82,37,6,43,2700,2456,5156
1,Sankhuwasabha,Panchkhapan MC,17521,148.03,42,1,43,6004,5851,11855
1,Sankhuwasabha,Bhotkhola RM,6576,639.01,23,1,24,2231,2167,4398
1,Sankhuwasabha,Makalu RM,13204,519.45,46,2,48,2124,2095,4219
1,Sankhuwasabha,Madi MC,14470,110.1,35,3,38,2603,2397,5000
1,Sankhuwasabha,Sabhapokhari RM,10492,222.08,30,3,33,1802,1705,3507
1,Sankhuwasabha,Silichung RM,12174,293.26,40,1,41,1813,1668,3481
